artist	title
Adam Lambert	Whataya Want From Me
Katy Perry	Waking Up In Vegas (Calvin Harris Remix Edit)
Emmy The Great	Mia
Weezer	My Name Is Jonas
Ricardo Arjona	Como Duele (Album)
C.V. Jørgensen	Pak Dit Grej (1998 Digital Remaster)
Rihanna	Rehab
B-Complex	Beautiful Lies
The Mad Capsule Markets	Creature
Ray LaMontagne	Trouble (Album Version)
Yeah Yeah Yeahs	Soft Shock
Bright Eyes	Old Soul Song
Alberto Plaza	No Seas Cruel (vivo)
Amy Winehouse	Fuck Me Pumps
Brandy	I Wanna Be Down ( LP Version )
Ray LaMontagne	Shelter
Birdman / Lil Wayne / Drake	Money To Blow
Prince	I Wanna Be Your Lover (LP Version)
Justin Timberlake;Justin Timberlake featuring will.i.am	Damn Girl
Florence + The Machine	Kiss With A Fist
Ke$ha	Boots &  Boys
Weezer	Pork And Beans
The Corrs	Old Town [Album Version]
James Blunt	Annie (Album Version)
Yeah Yeah Yeahs	Little Shadow
Bon Iver	re:stacks
The Kills	Superstition
Bon Iver	Flume
Kings Of Leon	Manhattan
Hot Chip	Brothers
Amy Winehouse	Me & Mr Jones
Amos Lee	Soul Suckers
Klaxons	Magick
Iration	Coming Your Way
Dixie Chicks	Not Ready To Make Nice
The Killers	Somebody Told Me
Montell Jordan	This Is How We Do It
Damien Rice	Amie
LMFAO	Yes
Bunbury	Frente A Frente
Yeah Yeah Yeahs	Hysteric
Siniestro Total	Rock En Samil
Soltero	Ghost At The Foot Of The Bed
The Kooks	See The Sun
Fleet Foxes	White Winter Hymnal
Basshunter	Far From Home
Weezer	Say It Ain't So
Old Crow Medicine Show	Wagon Wheel
We The Kings	Check Yes Juliet
The All-American Rejects	My Paper Heart
Iron And Wine	Boy With The Coin
Van Halen	Ain't Talkin'  'Bout Love (Remastered Version)
Alicia Keys	If I Ain't Got You
Van Halen	Eruption (Album Version)
Andrew Bird	Masterswarm
The Rural Alberta Advantage	The Deadroads
Vampire Weekend	Cousins
Beyoncé	Dangerously In Love
Benjy Ferree	Fear
Steppenwolf	Magic Carpet Ride
Lady GaGa	Alejandro
Passion Pit	I've Got Your Number
Lily Allen	Chinese
Miley Cyrus	Goodbye
Yellowcard	Ocean Avenue
Dakota Oak	Baker's Blue Jay Yarn
Van Halen	Runnin' With The Devil
Passion Pit	Smile Upon Me
Interpol	Public Pervert
The Black Keys	All Hands Against His Own
Damien Rice	Delicate
Basshunter	All I Ever Wanted
The Avett Brothers	The Weight Of Lies
Basshunter	Var är jag
Miley Cyrus	The Climb
The Kooks	Ooh La
Lupe Fiasco featuring Matt Santos	Superstar (featuring Matthew Santos) (Album Version)
Kanye West	Hey Mama
Morcheeba	Big Calm
Weezer	Only In Dreams
Horse Feathers	Falling Through the Roof
Miley Cyrus	Party In The U.S.A.
LL Cool J	Doin' It
Shinedown	The Crow & The Butterfly (Album Version)
Foals	The French Open
Yeah Yeah Yeahs	Gold Lion
The Pussycat Dolls	When I Grow Up
The Kooks	See The World
Weezer	The World Has Turned And Left Me Here
Mariah Carey	Bye Bye
Kings Of Leon	Joe's Head
The Verve	Bitter Sweet Symphony
Elvis Perkins	Moon Woman 2
Iron Maiden	Ghost Of The Navigator
The All-American Rejects	The Last Song
The Nashville Bluegrass Band	Fiddlin' Bill
Kings Of Leon	Ragoo
Kate Nash	Paris
Jason Mraz	Common Pleasure [Eagles Ballroom Live Version]
Amy Winehouse	He Can Only Hold Her
Jason Mraz	Dialogue
Red Hot Chili Peppers	Snow [Hey Oh] (Album Version)
Jason Mraz	After An Afternoon (Eagles Ballroom Live Version)
Jason Mraz	Unfold (Eagles Ballroom Live Version)
Afroman	Because I Got High
Jason Mraz	Geek In The Pink (Album Version)
Muse	Supermassive Black Hole (Album Version)
Arctic Monkeys	Mardy Bum
Jason Mraz	Not So Usual (Eagles Ballroom Live Version)
Linkin Park	One Step Closer (Album Version)
Iration	Time Bomb
Jim Sturgess	All My Loving
Jim Sturgess	Across The Universe
John Brown\'s Body	Resonate
Death From Above 1979	Little Girl (album version)
Stars	Reunion
The Shins	Red Rabbits (Album)
Linkin Park	Lying From You (Album Version)
Fugees	FU-GEE-LA
Ratatat	Kennedy
Chiddy Bang	Opposite Of Adults
Iyaz	Replay
Ying Yang Twins	Bedroom Boom (Feat. Avant)
Dr. Dre / Eminem / Alvin Joiner	What's The Difference
Cake	Comfort Eagle
Tommy Bolin	Stratus [The Bottom Shelf]
Cake	Never There
Cake	Short Skirt/Long Jacket
Binary Star	Evolution Of Man
The Rogue Element	An Unsavoury Urge
Soul II Soul	How Long
Young Money	Roger That
The Shins	Turn On Me (Album)
Plies	Friday (Instrumental Album Version)
Cake	Commissioning A Symphony In C
Cake	Mexico
Ke$ha	Dinosaur
Beirut	Forks And Knives (La Fête)
Cake	Long Line Of Cars
Natiruts	Leve Com Você
Cake	Let Me Go
Beyoncé	Ring The Alarm
Mariah Carey	Obsessed
Bloc Party	I Still Remember
Barry Manilow	Can't Smile Without You
Selena Gomez & The Scene	Naturally
Bloc Party	Hunting For Witches
the bird and the bee	Spark
Shakira ft. Wyclef Jean	Hips Don't Lie
Abba	Take A Chance On Me
Brooke Fraser	Deciphering Me
the bird and the bee	Because
The Kooks	Matchbox
Burzum	Dunkelheit
Demi Lovato	Get Back
Barry Manilow	I Write The Songs
Demi Lovato	Gonna Get Caught
The Shins	Spilt Needles (Album)
Simon Harris	Sample Track 2
Full Flava	Betcha Wouldn't Hurt Me (feat Donna Gardier)
Black Eyed Peas	Pump It
Demi Lovato	Don't Forget
Demi Lovato/Joe Jonas	This Is Me
The Kooks	Shine On
The Kooks	Sofa Song
Maroon 5 / Rihanna	If I Never See Your Face Again
Maroon 5	Wake Up Call
Kiss	Rock And Roll All Nite
Death From Above 1979	Go Home_ Get Down
Demi Lovato	The Middle
Demi Lovato	Believe In Me
Gorillaz	White Light
Jason Derulo	Whatcha Say
Ratatat	Swisha
Abba	Lay All Your Love On Me
Ratatat	Montanita
Lykke Li	Complaint Department
Lauryn Hill	Can't Take My Eyes Off Of You
Bebe	Como Los Olivos
Morcheeba	Blindfold
Zion Train	Galaxy
Snow Patrol	Lifeboats
Suicidal Tendencies	Go Skate! (Possessed To Skate '97)
Motion City Soundtrack	Hold Me Down (Album Version)
Creedence Clearwater Revival	Down On The Corner
LU	Una Confusion
Damien Rice	Volcano
Kurt Carr & The Kurt Carr Singers	My Shepherd (Psalms 23) (featuring Kurt Carr & Avalon)
Jedi Mind Tricks	Ripped To Shreds (feat. Vinnie Paz_ Celph Titled & Demoz)
Nirvana	On A Plain
Carpenters	Yesterday Once More
Paulina Rubio	Nada De Ti
Beastie Boys	Intergalactic
Brand New	Jaws Theme Swimming
Lollipop Lust Kill	Knee Deep In the Dead
Jack Johnson	Flake
Ray LaMontagne	Can I Stay
João Pedro Pais	Ciúmes Da Lua
The Audition	It's Too Late (Album Version)
Flyleaf	So I Thought
Pantha Du Prince	The Splendour
Bright Eyes	Poison Oak (Album Version)
The Kooks	She Moves In Her Own Way
Mos Def	Ms. Fat Booty
The Tough Alliance	Leg 8
Eric Church	Longer Gone
Luke Bryan	We Rode In Trucks
Eric Church	Lotta Boot Left To Fill
The Mamas & The Papas	California Dreamin'
Apocalyptica	Quutamo
Eric Church	Young And Wild
Explosions In The Sky	First Breath After Coma
Pixies	Where Is My Mind?
Avril Lavigne	When You're Gone
New Young Pony Club	Fan
Metallica	Hit The Lights
Kings Of Leon	Cold Desert
Talk Talk	It's My Life
Amy Winehouse	Love Is A Losing Game
Calle 13	Tengo Hambre
Big & Rich	Lost In This Moment
Calle 13	Atrévete te te
Weird Al Yankovic	Smells Like Nirvana
Amos Lee	Black River
Van Halen	Right Now (Remastered Album Version)
Skids	Charade
Simple Minds	Oh Jungleland
Slipknot	Disasterpiece (Album Version)
Beastie Boys	Sure Shot
Cute Is What We Aim For	The Curse Of Curves (Album Version)
Calle 13 Feat. Rubén Blades Y La Chilinga	La Perla
Metallica	The Four Horsemen
Ministère Amer	Flirt Avec Le Meurtre
Calle 13 Featuring Café Tacuba	No Hay Nadie Como Tú
Calle 13	Fiesta De Locos
Andrés Cepeda	Embrujo
Calle 13	Pi-di-di-di
Calle 13 Featuring Tego Calderón	Sin Exagerar
Calle 13	Un Beso de Desayuno
Tarot	Tides
Strangelove	Spiders And Flies
Dexys Midnight Runners	Breaking Down The Walls Of Heartache
Amy Winehouse	Some Unholy War
Amy Winehouse	Stronger Than Me
Amy Winehouse	You Know I'm No Good
Amy Winehouse	I Heard Love Is Blind
The Black Keys	240 Years Before Your Time
Amy Winehouse	Back To Black
Molotov	Agüela (Mi Abuela & The Magnificent Seven & Bust A Move)
Amy Winehouse	Wake Up Alone
Amy Winehouse	Just Friends
Randy Travis	On The Other Hand (Album Version)
The Tallest Man On Earth	Thousand Ways
Carlos Vives	Amor Latino
Cassie Feat. Diddy & Yung Joc	Me & U
The Tallest Man On Earth	Troubles Will Be Gone
Orishas	Atrevido
Thursday	Voices On A String (Album Version)
Liquid People	Son Of Dragon
Nirvana	The Man Who Sold The World
Eagles	Hotel California
Westside Connection	Bow Down
Andrés Cepeda	Tengo Ganas
Story Of The Year	Sidewalks (Album Version)
The Roots / Cody Chestnutt	The Seed (2.0)
Carlos Vives	Carito
Justin Timberlake	What Goes Around...Comes Around
Foo Fighters	The Pretender
Beyoncé	Halo
The All-American Rejects	Move Along
The White Stripes	Seven Nation Army (Album Version)
Owl City	The Saltwater Room
Black Eyed Peas	Imma Be
Eminem / Nate Dogg	'Till I Collapse
Orishas	Mistica
Incubus	Wish You Were Here
Metallica	Enter Sandman
Avril Lavigne	My Happy Ending
Owl City	Dental Care
Kid Cudi Vs Crookers	Day 'N' Nite
Justin Bieber	One Time
Linkin Park	Crawling (Album Version)
Lady GaGa	Monster
Lady GaGa / Colby O'Donis	Just Dance
Justin Bieber	Down To Earth
Musiq	Romancipation
Nickelback	Far Away (Album Version)
Keith Sweat	Come Into My Bedroom (LP Version)
Justin Bieber	U Smile
Bon Jovi	Livin' On A Prayer
The All-American Rejects	Gives You Hell
Sean Kingston and Justin Bieber	Eenie Meenie
Justin Bieber	Love Me
Eminem / Dina Rae	Superman
Radiohead	Karma Police
Jill Scott	Honey Molasses
Eminem	Mockingbird
Dru Hill	I Should Be...
Rihanna	Te Amo
Pearl Jam	Black
Justin Bieber	That Should Be Me
Usher Featuring Lil' Jon & Ludacris	Yeah!
Florence + The Machine	I'm Not Calling You A Liar
Beyoncé	Ego
Skillet	Hero (Album Version)
Nickelback	How You Remind Me
Musiq	Infatueighties
Rihanna	Don't Stop The Music
Belle & Sebastian	Step Into My Office_ Baby
3 Doors Down	Kryptonite
OneRepublic	All The Right Moves
DJ Shadow	Giving Up The Ghost
Secondhand Serenade	Half Alive
DJ Dizzy	Sexy Bitch
Evanescence	Bring Me To Life
Second Hand Serenade	Fall For You
Eminem	My Name Is
Florence + The Machine	Rabbit Heart (Raise It Up)
Florence + The Machine	You've Got The Love
Eminem	Hailie's Song
Ludovico Einaudi	Primavera
The Lonely Island / T-Pain	I'm On A Boat
Linkin Park	In The End (Album Version)
Guns N' Roses	Paradise City
Owl City	Meteor Shower
Rihanna	Take A Bow
Billy Currington	That's How Country Boys Roll
Luz Divina	You Shine On Me
Belle and Sebastian	Piazza_ New York Catcher
Jack Johnson	Bubble Toes
Rage Against The Machine	Killing In The Name
Taylor Swift	You Belong With Me
Justin Bieber	Stuck In The Moment
Drake / Kanye West / Lil Wayne / Eminem	Forever
Ludovico Einaudi	Ritornare
Creedence Clearwater Revival	Born On The Bayou
Rise Against	Savior
Britney Spears	Toxic
The Airborne Toxic Event	Wishing Well
Justin Bieber	One Less Lonely Girl
Muse	Resistance
Eagle-Eye Cherry	Save Tonight
Black Eyed Peas	I Gotta Feeling
Julie London	You'd Be So Nice To Come Home To
Jaco Pastorius	Eleven (Album Version)
DJ Khaled	All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross)
Miley Cyrus	Let's Dance
Belle & Sebastian	Dear Catastrophe Waitress
L'âme Immortelle	Brother Against Brother
Metallica	One
Justin Bieber	Favorite Girl
Celtic Woman	Dúlaman
Sly & The Family Stone	Everyday People
Sam Adams	Coast 2 Coast
Citizen Cope	My Way Home
Derek & The Dominos / Eric Clapton	Layla
Scooter	How Much Is The Fish?
The Blues Brothers	Sweet Home Chicago
José González	Fold
Two Door Cinema Club	This Is The Life
Luke Haines	Bernie's Funeral/ Auto Asphixiation
Laura Marling	What He Wrote
Ellie Goulding	Salt Skin
Base Ball Bear	Crazy For You No Kisetsu (Album Version)
Laura Marling	Alpha Shallows
Avenged Sevenfold	Brompton Cocktail (Album Version)
Mayday Parade	Black Cat (Album)
Beastie Boys	Unite (2009 Digital Remaster)
Aventura	Su veneno
Something Corporate	As You Sleep
Nickel Creek	Doubting Thomas
Cartola	Tive Sim
Paul Kalkbrenner	Aaron
Cher	Like A Rolling Stone
Five Iron Frenzy	Canada
Billy Idol	Yellin' At The Xmas Tree
Pavement	Mercy:The Laundromat
Pavement	Heaven Is A Truck
Another Sunny Day	Rio
Beastie Boys	Jimmy James
System of a Down	Revenga
The Kills	Sour Cherry
Amon Amarth	No Fear For The Setting Sun
Dance Gavin Dance	Open Your Eyes and Look North (Album Version)
Dance Gavin Dance	It's Safe to Say You Dig the Backseat (Album Version)
Serj Tankian	Money (Album Version)
The New Pornographers	From Blown Speakers
System of a Down	Dreaming
Postal Service	This Place is a Prison (Album)
System of a Down	Stealing Society
System of a Down	Soldier Side
Corona	Baby Baby
Juanes	Para Tu Amor
NEEDTOBREATHE	Shine On (Album Version)
Juanes	Damelo
MGMT	Lady Dada's Nightmare
The Country Gentlemen	The Double Eagle
Juanes	A Dios Le Pido
Juanes	La Camisa Negra
Sade	Hang On To Your Love
Chris Tomlin	Sing_ Sing_ Sing (Key-E-Premiere Performance Plus w/o Background Vocals)
Bright Eyes	Take It Easy (love Nothing) (Album Version)
Daughtry	Learn My Lesson
The Cool Kids	One Two
Frightened Rabbit	FootShooter
Juanes	Tu Guardian
Sade	Smooth Operator
The Shins	Australia (Album)
Jack Johnson	If I Could
Obie Trice / Busta Rhymes	Oh!
NEEDTOBREATHE	We Could Run Away (Album Version)
Sade	No Ordinary Love
Camera Obscura	My Maudlin Career
Maná	Rayando el sol
Sade	Paradise
Eagles Of Death Metal	Stuck In The Metal
Juanes	Que Pasa
Afroman	Let's All Get Drunk
Snow Patrol	The Finish Line
Juanes / Nelly Furtado	Fotografía
The Academy Is...	Season (Album Version)
NEEDTOBREATHE	Looks Like Love (Album Version)
Plain White T's	You And Me
Sade	Kiss Of Life
Juanes	Gotas De Agua Dulce
Boston	Don't Look Back
The Smiths	There Is A Light That Never Goes Out
Cypress Hill featuring Damian Marley	Ganja Bus
NEEDTOBREATHE	Something Beautiful (Album Version)
3OH!3	IMNOTYOURBOYFRIENDBABY (Amended Album Version)
The Creation	Making Time
Daughtry	What I Meant To Say
Corinne Bailey Rae	Till It Happens To You
Taylor Swift	Our Song
Juanes	Clase De Amor
Sade	Is It A Crime
John Mayer	Waiting On The World To Change
112	Only You-Bad Boy Remix (Featuring The Notorious B.I.G. & Mase) (Album Version)
Shinedown	Son Of Sam (Bonus Version)
The Lonely Island	Who Said We're Wack?
Tenth Avenue North	Love Is Here
Juanes	Amame
Sade	Jezebel
Drowning Pool	Killin' Me
Taylor Swift / Colbie Caillat	Breathe
Warren Zevon	Mohammed's Radio [Solo Piano Demo]
The Lonely Island	Incredibad
Sade	Love Is Stronger Than Pride
Bersuit Vergarabat	Porno Star
Shinedown	Sin With A Grin (Album Version)
Juanes	Sueños
Sade	The Sweetest Taboo
Sade	Cherish The Day
NEEDTOBREATHE	Streets Of Gold (Album Version)
Frankie Goes To Hollywood	Relax
Dolly Parton & Kenny Rogers	Islands In The Stream
Creedence Clearwater Revival	Long As I Can See The Light
Joni Mitchell	You Turn Me On I'm A Radio (LP Version)
Creedence Clearwater Revival	Have You Ever Seen The Rain
Creedence Clearwater Revival	Fortunate Son
Atlas Sound	After Class
Linkin Park	New Divide (Album Version)
Creedence Clearwater Revival	Proud Mary
Creed	Stand Here With Me
Lit	Happy In The Meantime
Bob Dylan	Like A Rolling Stone
Flobots	Rise
Andrew Bird	Nuthinduan Waltz
Death Cab for Cutie	The Ice Is Getting Thinner (Album Version)
Daft Punk	Aerodynamic (Daft Punk Remix)
Beirut	Cherbourg
Explosions In The Sky	Your Hand In Mine
Yann Tiersen	Le Moulin
Peter Tosh	Recruiting Soldiers (2002 Digital Remaster)
Moby	Beautiful
Seventh Day Slumber	Lead Me To The Cross
Buju Banton	Cry No More
Celtic Woman	Send Me A Song
U2	Another Time Another Place
Pearl Jam	Inside Job
Trackheadz feat. Zaki	Feel (Mr. V Instrumental Mix)
Jarabe De Palo	Perro Apaleao
Faith No More	Falling To Pieces
Jarabe De Palo	Duerme Conmigo
Joaquin Sabina	Y Nos Dieron Las Diez
The Temper Trap	Fader
Alexi Murdoch	Song For You
The Temper Trap	Soldier On
Eddie Vedder	Tuolumne
Petey Pablo	Raise Up
Jonathan Coulton	Ikea
The Temper Trap	Resurrection
Tony Carreira	Depois De Ti (Mais Nada)
Stone Temple Pilots	Silvergun Superman (LP Version)
The xx	Basic Space
Junkie XL	JXL Radio Technical Support (Album Version)
Belle & Sebastian	Funny Little Frog
Matt Nathanson	Angel
Big Tymers	Rocky
The Temper Trap	Fools
Jarabe De Palo	El Bosque De Palo
Confederate Railroad	She Never Cried (Remastered Album Version)
Nick Drake	Place To Be
The Temper Trap	Drum Song
Crosby_ Stills & Nash	Wooden Ships (LP Version)
Jarabe De Palo	Agua
Royksopp	You Don't Have A Clue
Antony & The Johnsons	What Can I Do?
Jarabe De Palo	Tiempo
The Temper Trap	Down River
La Quinta Estacion	Recuerdame
Postal Service	Brand New Colony (Album)
Angus & Julia Stone	Paper Aeroplane
Jarabe De Palo	Bailar
Selena	No Me Queda Mas
Dead Kennedys	Police Truck
The Mars Volta	Son et Lumiere
Jarabe De Palo	Yin Yang
Elliott Smith	Angeles
Old Crow Medicine Show	We're All In This Together
Florence + The Machine	Dog Days Are Over (Demo)
Kings Of Leon	Trunk
Camera Obscura	Houseboat
Sense Field	Am I A Fool
Elliott Smith	Between The Bars
Ibrahim Ferrer	Si Te Contara
Kings Of Leon	I Want You
Chris Taylor	Speak To Me In Mysteries
Nick Drake	Pink Moon
System of a Down	I-E-A-I-A-I-O
Passion Pit	Eyes As Candles
Tokyo Police Club	Your English Is Good
Soltero	From The Station
NEEDTOBREATHE	Lay 'Em Down (Album Version)
Kings Of Leon	McFearless
Faith No More	Midlife Crisis
Gillian Welch	Tear My Stillhouse Down
The Mamas & The Papas	Creeque Alley
The Temper Trap	Rest
Miley Cyrus	Girls Just Wanna Have Fun
Kings Of Leon	Be Somebody
Matt Nathanson	Gone
Maelo Ruiz	Amor De Cristal
Black Eyed Peas	Let's Get It Started
Arcade Fire	Black Mirror
Friendly Fires	White Diamonds
Tycho	The Daydream
The Doors	Moonlight Drive [Version 1]
Jordan Francis/Roshon Bernard Fegan	Hasta La Vista
Hole	Miss World
Miguel Calo	El Cuatrero
Ladyhawke	Magic
Efecto Mariposa	Por quererte
Yellowcard	Life Of A Salesman
Cosmic Gate feat. Aruna	Under Your Spell
La Roux	Colourless Colour
Santogold	L.E.S. Artistes
Miami Horror	Summerfest '86
Massive Attack	Risingson
Shiny Toy Guns	Rainy Monday
Markus Schulz	Daydream
Scottish Chamber Orchestra/Jukka-Pekka Saraste	Symphony No. 39 in E flat major K543: IV.     Allegro
Avantasia	Serpents In Paradise
Yellowcard	Miles Apart
Hawthorne Heights	Blue Burns Orange (Album Version)
Andres Calamaro	La Parte De Adelante
Garbage	Cherry Lips (Go Baby Go!) (Re-mastered 07)
Calvin Harris	You Used To Hold Me
Deepest Blue	Deepest Blue
Times New Viking	Imagine Dead John Lennon
Yukihiro Takahashi	Valerie
Ludovico Einaudi	Rose
Ariel Pink's Haunted Graffiti	Haunted Graffiti
Girl Talk	Minute by Minute
Grizzly Bear	Easier
Eve / Truth Hurts	What
Amity in fame	Relegate the Judge
Bjork	Bachelorette (Family Tree Version)
Zucchero / Paul Young	Senza Una Donna (Without A Woman)
Buffalo Springfield	For What It's Worth
Che Sudaka	Ona Kasuita
Train	I'm Not Waiting In Line
Portishead	Over
Alejandro Sanz	Non E_ Per Te_ Per Me
Boys Like Girls featuring Taylor Swift	Two Is Better Than One
Tenth Avenue North	Hold My Heart
The Rapture	Whoo! Alright - Yeah...Uh Huh.
Skillet	Monster (Album Version)
My Chemical Romance	I'm Not Okay (I Promise) (Live From Sessions@AOL)
Taylor Swift	The Best Day
Laura Branigan	Self Control  (LP Version)
Within Temptation	The Howling
Colbie Caillat	Bubbly
Michael Bublé	For Once In My Life (Album Version)
Lil Wayne	Feel Me
Peaches	Shake Yer Dix
Xploding Plastix	Having Smarter Babies
Traveling Wilburys	End Of The Line
The Hues Corporation	Rock The Boat
Daddy Yankee	Temblor
The Supremes	Baby Love
Hardfloor	Murano
Beats Antique	Milieu
Meav Ni Mhaolchatha	I Dreamt I Dwelt in Marble Halls
Death From Above 1979	Going Steady
LCD Soundsystem	You Wanted A Hit
Rick James	Super Freak
Apocalyptica	Bittersweet
Missy Higgins	Where I Stood (Album Version)
Rihanna / will.i.am	Photographs
The Chi-Lites	Oh Girl
Hawk Nelson	Friend Like That
Unk	Walk It Out
Decadence	Fast Forward
Rammstein	Engel
Rihanna	Stupid In Love
Axwell Featuring Max'C	I Found U (Vocal Remode)
Darude	Sandstorm
The Pussycat Dolls	I'm Done
No Te Va Gustar	No Te Quiero Acá
No Te Va Gustar	Ya Entendí
Dragonforce	Revolution Deathsquad (Album Version)
Dropkick Murphys	The Warrior's Code
3OH!3	DONTTRUSTME (Explicit Album Version)
O'Rosko Raricim	Terre Promise
Jack Johnson	Breakdown
Justin Bieber	Up
LMFAO / Lil Jon	Shots
Survivor	Eye Of The Tiger
Justin Bieber / Jessica Jarrell	Overboard
Flogging Molly	The Seven Deadly Sins
Flogging Molly	Drunken Lullabies
Dropkick Murphys	Johnny_ I Hardly Knew Ya
A Fine Frenzy	Ashes And Wine
Aerosmith	Dream On
Lucas Masciano	Besos
the bird and the bee	Diamond Dave
The Boxmasters	Heartbreakin' Wreck
Mariah Carey	Dreamlover
Chris Bathgate	Coda
Thomas Newman	Mr. Smarty Man
the bird and the bee	Birthday
Enya	Deireadh An Tuath
A Fine Frenzy	Blow Away
A Fine Frenzy	Last Of Days
The Ronettes	Be My Baby
Enya	Boadicea
Bram Vermeulen	Mamma
Enya	Epona
Jag Panzer	Reign Of The Tyrants
Slayer	Dissident Aggressor
Justin Timberlake	Let's Take A Ride
Enya	Bard Dance
Enya	Only Time (Original Version)
Damian "Jr. Gong" Marley	Me Name Jr. Gong
Fiona Apple	Shadowboxer
Air France	Karibien
Enya	May It Be (Album version)
Bloc Party	Luno
Tonic	Future Says Run
Europe	More Than Meets The Eye
Silkk The Shocker/Master P/C-Murder	We Won't Stop (feat. Master P & C-Murder)
Enya	Watermark
Madonna	Beautiful Stranger
Enya	Aldebaran
Boom Bip	From Left To Right
Justin Timberlake duet with Beyonce	Until The End Of Time
Franz Ferdinand	Feel The Envy
Enya	Storms In Africa
Justin Timberlake	LoveStoned/I Think She Knows
MC5	Miss X (LP Version)
The Gaslight Anthem	The Patient Ferris Wheel
Colin Hay	Beautiful World (From Colin Hay album "Going Somewhere" HEAD038)
Paolo Nutini	These Streets [Album Version]
Falling Up	A Guide To Marine Life
Luis Miguel	Hasta El Fin
Bacilos	Tabaco Y Chanel
Enya	I Want Tomorrow
Ben Folds Five	Best Imitation Of Myself
Snow Patrol	The Golden Floor
Camila	Me Da Igual
Yeah Yeah Yeahs	Shame And Fortune
Incubus	Nice To Know You
Rise Against	Paper Wings
KT Tunstall	Silent Sea
Rise Against	Blood To Bleed
Kurt Vile	Don't Get Cute
KT Tunstall	Stoppin' The Love
The Postal Service	Such Great Heights
Soltero	The Prize
Angus & Julia Stone	Wasted
Erin McKeown	Monday Morning Cold (band)
Full Blown Chaos	Standpoint
Incubus	11 am
Santigold	My Superman
Sick Puppies	Don't Walk Away
Franz Ferdinand	Ulysses
Rob Zombie	Demon Speeding
The Kills	Cat Claw
Crosby_ Stills_ Nash & Young	Ohio
Soltero	Songs Of The Season
Fall Out Boy	This Ain't A Scene_ It's An Arms Race
Frightened Rabbit	Swim Until You Cant See Land
Beirut	St. Apollonia
The Kills	Pull A U
Panic! At The Disco	Time To Dance (Album Version)
the bird and the bee	Ray Gun
John Brown's Body	Bulls
Heidi Berry	Time
Sick Puppies	Too Many Words
La Rue Ketanou	Les derniers aventuriers
Nile	What Can Be Safely Written
Chris Classic	Witch Doctor
Ryan Adams & The Cardinals	Trains
Vilma Palma	Perdiendo El Tiempo
Tamia	Officially Missing You (Radio Version)
Shania Twain	Nah!
Atlas Sound	Small Horror
Los Pericos	Molly
Marc Anthony	Y Hubo Alguien
Fleetwood Mac	Go Your Own Way (LP Version)
Hollywood Undead	Pain
Disturbed	I'm Alive (Album Version)
Sick Puppies	Odd One (Radio Edit)
Céline Dion	My Heart Will Go On
Sick Puppies	Rip Tide
Sick Puppies	My World
Lynyrd Skynyrd	Sweet home Alabama
A Perfect Circle	The Outsider
Bon Jovi	It's My Life
Mazz	No Te Olvidaré
A Perfect Circle	Weak And Powerless
Lifehouse	You And Me (Wedding Version)
Covenant	XRDS
Jason Mraz	I'll Do Anything (LP Version)
Ok Go	Do What You Want
Doves	The Cedar Room
The Veronicas	Everything I'm Not [Claude le Gache Club Mix]
Radney Foster	The Kindness Of Strangers
Michael Bublé	Come Fly With Me (Album Version)
Neil Innes	Angelina
Louis Smith	South Side (Digitally Remastered)
Alanis Morissette	Forgiven (Acoustic Album Version)
Deer Tick	Spend The Night
+ / - {Plus/Minus}	The Queen of Nothing
Big Tymers / Unplugged / Official	Pimp On
Sean Paul	Baby Boy [feat. Beyonce]
Shakira	Estoy Aquí
Foals	Big Big Love (Fig .2)
Gotan Project	Diferente
Jack Johnson	Holes To Heaven
BWO	Sunshine In The Rain (Johan Afterglow Electro Mix)
Damage	After The Love Has Gone
Yann Tiersen	La Noyée
Yann Tiersen	La Dispute
Warren Zevon	Lawyers_ Guns And Money  (LP Version)
Unter Null	Third Party
Amy Winehouse	Addicted
Simple Minds	Sanctify Yourself
Bette Midler	The Rose
Soda Stereo	Prófugos
The Cheetah Girls	Shake A Tail Feather
Deep Purple	Speed King (1995 Digital Remaster)
Passion Pit	Sleepyhead
Shakira	Octavo Día
4 Non Blondes	What's Up?
Weezer	Photograph
Queen	Love Of My Life (1993 Digital Remaster)
Andres Calamaro	Un Poco De Diente Por Diente
Yann Tiersen	La Valse D'Amélie (Version Piano)
Phil Collins	One More Night
Soltero	Hands Up
Angelic Upstarts	Two Million Voices
Stealers Wheel	Stuck In The Middle With You
Blink-182	Adam's Song
Guns N' Roses	Don't Cry (Original)
Nirvana	Something In The Way
Weezer	Surf Wax America
Aerosmith	Crazy
Pixies	Velouria
Nirvana	Drain You
Journey	If He Should Break Your Heart
Taking Back Sunday	Great Romances Of The 20th Century (Album Version)
Snow Patrol	In My Arms
Snow Patrol	Hands Open
Gorillaz	Every Planet We Reach Is Dead
Foo Fighters	Exhausted
Kid Cudi	Cudi Zone
Kelly Clarkson	Already Gone
Gorillaz	Starshine
Avenged Sevenfold	The Wicked End (Album Version)
Keith Sweat Featuring Athena Cage	Nobody (Featuring Athena Cage) (LP Version)
Slipknot	The Nameless (Album Version)
Fonseca	Hace Tiempo
Calle 13	Sin Coro
Dead Kennedys	The Man with the Dogs
Die Mooskirchner	Frisch und g'sund
Usher	There Goes My Baby
New Found Glory	Understatement
Alliance Ethnik	Représente
